order_num,tracking_num,pck_recieved_date,package_deliver_date,status,address,last_update_timestamp
1000,TRK1000,2023-01-02,2023-01-04,Delivered,789 Pine St,2023-01-02 04:07:16
1001,TRK1001,2023-01-02,2023-01-03,Delayed,789 Pine St,2023-01-02 20:08:49
1002,TRK1002,2023-01-02,2023-01-04,In Transit,123 Elm St,2023-01-02 14:11:17
1003,TRK1003,2023-01-02,2023-01-03,In Transit,123 Elm St,2023-01-02 01:45:03
1004,TRK1004,2023-01-02,2023-01-04,Delivered,456 Oak St,2023-01-02 17:30:48
1005,TRK1005,2023-01-02,2023-01-07,Out for Delivery,202 Birch Rd,2023-01-02 02:11:28
1006,TRK1006,2023-01-02,2023-01-05,Delayed,789 Pine St,2023-01-02 07:06:10
1007,TRK1007,2023-01-02,2023-01-07,Delayed,101 Maple Ave,2023-01-02 23:48:45
1008,TRK1008,2023-01-02,2023-01-07,In Transit,123 Elm St,2023-01-02 17:07:40
1009,TRK1009,2023-01-02,2023-01-03,Returned,789 Pine St,2023-01-02 16:19:21
1010,TRK1010,2023-01-02,2023-01-04,Delivered,101 Maple Ave,2023-01-02 20:24:22
1011,TRK1011,2023-01-02,2023-01-05,Returned,202 Birch Rd,2023-01-02 04:11:24
1012,TRK1012,2023-01-02,2023-01-07,Out for Delivery,202 Birch Rd,2023-01-02 20:48:44
1013,TRK1013,2023-01-02,2023-01-04,In Transit,456 Oak St,2023-01-02 21:47:56
1014,TRK1014,2023-01-02,2023-01-06,Delayed,101 Maple Ave,2023-01-02 15:54:37
1015,TRK1015,2023-01-02,2023-01-05,Returned,123 Elm St,2023-01-02 08:21:37
1016,TRK1016,2023-01-02,2023-01-03,Delivered,202 Birch Rd,2023-01-02 12:05:07
1017,TRK1017,2023-01-02,2023-01-07,In Transit,456 Oak St,2023-01-02 08:31:27
1018,TRK1018,2023-01-02,2023-01-03,Delivered,789 Pine St,2023-01-02 04:55:53
1019,TRK1019,2023-01-02,2023-01-06,In Transit,456 Oak St,2023-01-02 04:46:02
1020,TRK1020,2023-01-02,2023-01-06,Out for Delivery,123 Elm St,2023-01-02 14:17:11
